P001|Wireless Mouse|19.99|Electronics
P002|Mechanical Keyboard|59.99|Electronics
P003|HDMI Cable|8.49|Electronics
P004|USB-C Hub|24.99|Electronics
P005|Laptop Stand|29.99|Electronics
P006|Water Bottle|14.99|Home & Kitchen
P007|Insulated Mug|12.99|Home & Kitchen
P008|Desk Organizer|18.50|Home & Kitchen
P009|Ceramic Bowl Set|25.00|Home & Kitchen
P010|LED Desk Lamp|32.75|Home & Kitchen
P011|Yoga Mat|21.99|Fitness
P012|Dumbbell Set|49.99|Fitness
P013|Resistance Bands|15.00|Fitness
P014|Jump Rope|7.99|Fitness
P015|Fitness Tracker|39.99|Fitness
P016|T-Shirt|9.99|Apparel
P017|Slim Fit Jeans|29.99|Apparel
P018|Hoodie|34.99|Apparel
P019|Sneakers|49.95|Apparel
P020|Socks Pack (5)|11.49|Apparel
P021|Notebook (3-Pack)|6.99|Stationery
P022|Gel Pens (12-Pack)|5.99|Stationery
P023|Sticky Notes Set|4.49|Stationery
P024|Stapler|8.75|Stationery
P025|Desk Calendar|10.50|Stationery
P026|Shampoo|6.49|Personal Care
P027|Toothpaste (2-Pack)|4.99|Personal Care
P028|Body Wash|5.99|Personal Care
P029|Hand Sanitizer|3.49|Personal Care
P030|Hair Brush|7.25|Personal Care
P031|Smartphone Case|12.99|Accessories
P032|Wireless Earbuds|34.99|Accessories
P033|Power Bank|22.95|Accessories
P034|Screen Protector (2-Pack)|9.99|Accessories
P035|Bluetooth Speaker|27.49|Accessories
P036|Notebook Backpack|38.99|Bags
P037|Laptop Sleeve|15.00|Bags
P038|Travel Duffel Bag|45.00|Bags
P039|Messenger Bag|29.95|Bags
P040|Drawstring Bag|8.99|Bags
P041|Wall Clock|16.50|Home Decor
P042|Picture Frame Set|14.99|Home Decor
P043|Aroma Diffuser|19.99|Home Decor
P044|Throw Blanket|22.99|Home Decor
P045|Table Plant (Artificial)|12.00|Home Decor
P046|Board Game - Codenames|17.99|Toys & Games
P047|LEGO Classic Box|29.99|Toys & Games
P048|Jigsaw Puzzle 1000pc|13.49|Toys & Games
P049|Rubik's Cube|6.99|Toys & Games
P050|Playing Cards Set|4.50|Toys & Games
